voltage,timestamp,cb_settings,cb_pusm,ngood,maxgood,mingood,maxgood_index,mingood_index,third,third_index,used,used_index,used_phases,time,TID
float64,object,object,object,int64,int64,int64,int64,int64,int64,int64,int64,int64,object,datetime64[ns],float64
1.08,30Sep_103734,[15 24 25 26 27 28 29 30 31 56 57 58 59 60 61 62],[9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9],16,62,15,30,15,28,20,28,20,['4' '11' '5' '4' '4' '5' '5' '6' '12' '5' '5' '5'],2022-09-30 13:03:41,41.843291666666666
1.2,30Sep_103734,[13 14 15 24 25 26 27 28 29 30 31 56 57 58 59 60 61],[9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9],17,61,13,29,13,26,18,26,18,['4' '11' '5' '4' '4' '5' '5' '6' '12' '5' '5' '5'],2022-09-30 13:17:43,43.91320833333334
1.32,30Sep_105154,[12 13 14 15 24 25 26 27 28 29 30 31 56 57 58 59],[9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 7],16,59,12,27,12,25,17,0,0,['2' '9' '10' '2' '2' '11' '2' '3' '2' '3' '2' '2'],2022-09-30 13:33:17,46.209291666666665
1.08,30Sep_105154,[15 24 25 26 27 28 29 30 31 56 57 58 59 60 61 62],[9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9],16,62,15,30,15,28,20,28,20,['2' '9' '10' '2' '2' '11' '2' '3' '2' '3' '2' '2'],2022-09-30 13:36:23,46.66654166666667
1.2,30Sep_105154,[13 14 15 24 25 26 27 28 29 30 31 56 57 58 59 60 61],[9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9],17,61,13,29,13,26,18,26,18,['2' '9' '10' '2' '2' '11' '2' '3' '2' '3' '2' '2'],2022-09-30 13:50:25,48.73645833333333
1.32,30Sep_110901,[12 13 14 15 24 25 26 27 28 29 30 31 56 57 58 59 60],[9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9],17,60,12,28,12,25,17,0,0,['4' '11' '5' '5' '4' '6' '5' '6' '4' '5' '5' '5'],2022-09-30 14:06:03,51.042375
1.08,30Sep_110901,[15 24 25 26 27 28 29 30 31 56 57 58 59 60 61 62],[9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9],16,62,15,30,15,28,20,28,20,['4' '11' '5' '5' '4' '6' '5' '6' '4' '5' '5' '5'],2022-09-30 14:09:09,51.499625
1.2,30Sep_110901,[14 15 24 25 26 27 28 29 30 31 56 57 58 59 60 61],[9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9],16,61,14,29,14,27,19,27,19,['4' '11' '5' '5' '4' '6' '5' '6' '4' '5' '5' '5'],2022-09-30 14:23:11,53.569541666666666
1.32,30Sep_112356,[12 13 14 15 24 25 26 27 28 29 30 31 56 57 58 59 60],[9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9],17,60,12,28,12,25,17,0,0,['2' '9' '2' '2' '2' '11' '3' '3' '2' '3' '2' '3'],2022-09-30 14:37:13,55.63945833333333
1.08,30Sep_112356,[15 24 25 26 27 28 29 30 31 56 57 58 59 60 61 62],[9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9],16,62,15,30,15,28,20,28,20,['2' '9' '2' '2' '2' '11' '3' '3' '2' '3' '2' '3'],2022-09-30 14:40:19,56.096708333333325
1.2,30Sep_112356,[14 15 24 25 26 27 28 29 30 31 56 57 58 59 60 61],[9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9],16,61,14,29,14,27,19,27,19,['2' '9' '2' '2' '2' '11' '3' '3' '2' '3' '2' '3'],2022-09-30 14:54:21,58.166624999999996
1.32,30Sep_114054,[12 13 14 15 24 25 26 27 28 29 30 31 56 57 58 59 60],[9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9],17,60,12,28,12,25,17,0,0,['4' '11' '5' '5' '5' '5' '5' '5' '5' '5' '5' '5'],2022-09-30 15:08:40,60.27833333333333
1.08,30Sep_114054,[15 24 25 26 27 28 29 30 31 56 57 58 59 60 61 62],[7 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9],16,62,15,30,15,28,20,27,19,['4' '11' '5' '5' '5' '5' '5' '5' '5' '5' '5' '5'],2022-09-30 15:11:47,60.73804166666666
1.2,30Sep_114054,[14 15 24 25 26 27 28 29 30 31 56 57 58 59 60 61],[9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9],16,61,14,29,14,27,19,27,19,['4' '11' '5' '5' '5' '5' '5' '5' '5' '5' '5' '5'],2022-09-30 15:25:59,62.832541666666664
1.2,30Sep_154954,[14 15 24 25 26 27 28 29 30 31 56 57 58 59 60 61],[9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9],16,61,14,29,14,27,19,27,19,[ 5  3  5  5  5  6 12  6  5  6  5  5],2022-09-30 15:50:11,66.40204166666666
1.32,30Sep_162022,[12 13 14 15 24 25 26 27 28 29 30 31 56 57 58 59 60],[9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9],17,60,12,28,12,25,17,25,17,[ 9  8  2  9  2 10  2  2  9  2  2  2],2022-09-30 16:20:39,70.895875
